"# 文本key","文本value"
"string","string"
"id","text"
"c4ca4238a0b923820dcc509a6f75849b","1"
"23919a9ecdb31e7d808716f2d65eb06b","Ты убил моего врага, я хочу поблагодарить тебя, несмотря ни на что!» !"
"0bd3a1e12866fd4db04dbe32820e0fa4","Конечно. Мы же семья, это меньшее, что я могу сделать!"
"07f1effe8217ac63663cc0f5295aa240","Даже так, я крайне благодарен. Прошу прими это."
"a3fccde6074b2d61c53cfe00f09c95db","Отношение собеседника изменилось, и он подарил мне редкую вещь."
"94a5c429334328991826d2f92087293c","Я помог {0}{1} отомстить. Это не только нас сблизило, но меня ещё и отблагодарили подарком."
"dd1105f15cf73be8f48e467ebddbb8e1","Прощай."
"007f3352031a811c65c3559a22183632","Мы из одной секты, пустяк."
"35af698f5324cc2ab53e3c5c9fe52b92","Мы из одной школы. Раз ты решил мне помочь, этот долг я никогда не забуду!"
"9100a9df3937996496c4b4fa379a36f1","Мы хорошие друзья, не нужно так суетиться."
"f5ab0e4c2bf7ff0a6e134bf79cc96db4","Мы связаны узами братства. Сегодня ты ещё и помог мне отомстить, за что я буду вечно благодарен!"
"ecf7fcb456d48636c9a357ea5628009a","Я всего лишь помог мимоходом."
"602a4206b53927505f414065a1f8e81b","Я никогда не думал, что ты забудешь о наших прошлых конфликтах и будешь мстить за меня. Я уважаю тебя и готов наладить отношения, оставив наши конфликты в прошлом."
"c32fcd011a0c446265fe3c84a426c5b6","Наша связь нерушима, и любой, кто осмелится причинить тебе вред, познает мой гнев."
"776550f80c204be0b1e3e81d212edfa9","Я понимаю, что встретить тебя — это великая удача, дарованная мне судьбой. Даже если мир разрушится, я всё равно останусь рядом с тобой."
"a58e56e006072a2992f38de6b74a2cbc","Ты под моей защитой, как мой соратник."
"d8539a499f9da9e07dcf34fb9e1ba845","Пустяк, об этом даже не стоит говорить."
"2f33b6d5204d36e70c126fbdd1ba219f","Господин, прошу, спасите меня!"
"c3003f68037d2d0d2f0ceb662d21c64f","Спросить о причине"
"886abe9ed897ddde7ae6567d9fbe0d8e","Это касается только нас, тебе лучше не лезть. Иначе придётся разобраться и с тобой!"
"6256f6348e5d2200478318bc49d08cc7","Спросить девушку, что произошло."
"bd55b899bba71f2c54e8d080a75269c9","Этот злодей всё время меня преследовал. Мой отец сразился с ним и был забит до смерти! Теперь он хочет заставить меня подчиниться, но я лучше умру!"
"ed15af327706592164eb4993e59b6c8a","Вступиться за девушку"
"f399d9e9c9fd84be9ec6fa0a3e0ebaa6","Парень, похоже, ты совсем жить устал!"
"10f9ff5915ad633e5f99e51d6a39c086","Я встретил злодея, что оскорблял девушку по имени {0}{1}. Она умоляла меня о помощи, и я без колебаний вступился. Теперь она прониклась ко мне глубокой благодарностью."
"cc6d41127f1db28321e805b15981162c","{0}{1} пришёл мне на помощь, когда я уже почти потеряла надежду. Я не забуду его доброту."
"51479b8fa32d88d441c687b28ac1a36c","Они оба изменили своё отношение ко мне."
"127a4c577dbc0a7c1a3269ead618748a","Довольно слов!"
"eb5deca5ad31e19dfe753f011c50871f","Простите, но я бессилен помочь..."
"bdd424d87b16971d535da34891cfcc7d","Хм, знаешь своё место! Девушка, посмотрим, куда ты теперь побежишь!"
"53c53dd5a9a5c285f3b5ddef10d451f4","{0}{1} искал у меня помощи, но я отказал."
"94a5d32f3c44abc352919913016e5b70","Меня преследовал враг, и в отчаянии я повстречал {0}{1}. Увы, на меня не обратили внимания. Как же холодны сердца людей в этом мире!"
"132aadeea1adbec6fd73a76b9ea72761","..."
"b9a84afdb69bffbdc69432f9cccb4e77","Его слова выдают злодея! Я решил помочь девушке."
"184edf107672661e6ad0877601e56f20","Меньше проблем — больше покоя."
"962fb45d862a741b622877a2ba4927cb","Слышали? Неподалёку завелась банда разбойников, что творит бесчинства. Надеюсь, найдётся герой, способный их уничтожить, иначе жизнь станет невыносимой."
"b1f8288af0a2cd45e37bb186260c514b","Как благородный воин, я не могу остаться в стороне!"
"36d5442ad05cc2f7a993592c865a66aa","Это не имеет ко мне никакого отношения, оставьте меня в покое."
"542137d0f596b714c2554cdc85fa6b88","Что ж... У каждого свои устремления, я не стану тебя уговаривать."
"3fbc582d6b24e843fb3eddb2c96a377f","Кто бросил банановую кожуру?! Чёрт! Хотя... я нашёл деньги, ха-ха-ха!"
"4c8f7e3f22661b1bd76a160d68ea2c8d","Мне так повезло, я могу принести что-то хорошее, даже если срублю дерево!» <TDName>(Получить производственный опыт)</>"
"632fec3d8370bd04be31b6ed886ecd51","Я поистине удачлив! Срубил дерево — нашёл монеты! <TDName>(Получены Монеты)</>"
"a3b69801bc2d4f5d990cd2bdc1bea8f8","Какое невезение! <TDName>(Получен Навоз)</>"
"f61cdce8070cce68f741771d2d9e807d","Какое везение! <TDName>(Получена мазь для лечения ран)</>"
"4c9ebc3851aea2e927fdf615b832e3a3","Какая неудача! <TDName>(получить заправку бензина)</>"
